time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
155,28.3868,3.436528,product,AH-01-15zg2d,22.45,966.258
215,25.6493,3.436528,product,AH-01-15zg2d,22.45,956.241
275,38.7411,3.436528,product,AH-01-15zg2d,22.45,963.426
335,31.0953,3.436528,product,AH-01-15zg2d,22.45,962.698
395,41.7502,3.436528,product,AH-01-15zg2d,22.45,965.575
455,36.5893,3.436528,product,AH-01-15zg2d,22.45,962.179
515,35.8884,3.436528,product,AH-01-15zg2d,22.45,961.425
575,40.2493,3.436528,product,AH-01-15zg2d,22.45,962.205
635,54.9509,3.436528,product,AH-01-15zg2d,22.45,956.914
695,45.6764,3.436528,product,AH-01-15zg2d,22.45,966.093
755,50.7351,3.436528,product,AH-01-15zg2d,22.45,957.516
815,48.5564,3.436528,product,AH-01-15zg2d,22.45,967.065
875,57.4975,3.436528,product,AH-01-15zg2d,22.45,959.294
935,62.7962,3.436528,product,AH-01-15zg2d,22.45,961.73
995,66.5214,3.436528,product,AH-01-15zg2d,22.45,955.412
1055,60.8425,3.436528,product,AH-01-15zg2d,22.45,962.87
1115,58.3798,3.436528,product,AH-01-15zg2d,22.45,973.75
1175,69.109,3.436528,product,AH-01-15zg2d,22.45,968.421
1235,71.2403,3.436528,product,AH-01-15zg2d,22.45,964.273
1295,68.8184,3.436528,product,AH-01-15zg2d,22.45,966.724
1355,78.3122,3.436528,product,AH-01-15zg2d,22.45,963.236
1415,85.0965,3.436528,product,AH-01-15zg2d,22.45,958.148
1475,85.1018,3.436528,product,AH-01-15zg2d,22.45,952.653
1535,81.8628,3.436528,product,AH-01-15zg2d,22.45,970.742
1595,74.2234,3.436528,product,AH-01-15zg2d,22.45,971.335
1655,89.6916,3.436528,product,AH-01-15zg2d,22.45,963.983
1715,88.3149,3.436528,product,AH-01-15zg2d,22.45,970.776
1775,97.7882,3.436528,product,AH-01-15zg2d,22.45,950.794
1835,90.3515,3.436528,product,AH-01-15zg2d,22.45,956.919
1895,98.8363,3.436528,product,AH-01-15zg2d,22.45,964.163
1955,104.558,3.436528,product,AH-01-15zg2d,22.45,955.522
2015,92.6627,3.436528,product,AH-01-15zg2d,22.45,968.535
2075,91.5154,3.436528,product,AH-01-15zg2d,22.45,969.483
2135,111.299,3.436528,product,AH-01-15zg2d,22.45,945.301
2195,101.935,3.436528,product,AH-01-15zg2d,22.45,959.421
2255,100.66,3.436528,product,AH-01-15zg2d,22.45,960.027
2315,108.627,3.436528,product,AH-01-15zg2d,22.45,953.233
