time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
135,59.8876,3.4226085,product,JIV-01-05zg2d,25,1000.64
165,63.3964,3.4226085,product,JIV-01-05zg2d,25,946.213
195,74.6419,3.4226085,product,JIV-01-05zg2d,25,927.181
225,65.8001,3.4226085,product,JIV-01-05zg2d,25,977.316
255,77.2424,3.4226085,product,JIV-01-05zg2d,25,938.872
285,91.8585,3.4226085,product,JIV-01-05zg2d,25,947.744
315,94.1839,3.4226085,product,JIV-01-05zg2d,25,935.153
345,103.114,3.4226085,product,JIV-01-05zg2d,25,956.691
375,91.0115,3.4226085,product,JIV-01-05zg2d,25,927.71
405,98.1101,3.4226085,product,JIV-01-05zg2d,25,898.997
435,109.826,3.4226085,product,JIV-01-05zg2d,25,949.244
465,109.675,3.4226085,product,JIV-01-05zg2d,25,911.056
495,106.468,3.4226085,product,JIV-01-05zg2d,25,940.211
525,122.508,3.4226085,product,JIV-01-05zg2d,25,910.76
555,107.939,3.4226085,product,JIV-01-05zg2d,25,917.023
585,126.802,3.4226085,product,JIV-01-05zg2d,25,924.143
615,129.047,3.4226085,product,JIV-01-05zg2d,25,917.468
645,132.969,3.4226085,product,JIV-01-05zg2d,25,898.343
675,140.058,3.4226085,product,JIV-01-05zg2d,25,936.855
705,129.07,3.4226085,product,JIV-01-05zg2d,25,895.976
735,137.681,3.4226085,product,JIV-01-05zg2d,25,925.282
765,151.584,3.4226085,product,JIV-01-05zg2d,25,929.872
795,136.611,3.4226085,product,JIV-01-05zg2d,25,951.949
825,146.873,3.4226085,product,JIV-01-05zg2d,25,911.715
855,150.897,3.4226085,product,JIV-01-05zg2d,25,970.048
885,152.663,3.4226085,product,JIV-01-05zg2d,25,923.906
915,147.574,3.4226085,product,JIV-01-05zg2d,25,921.989
945,165.655,3.4226085,product,JIV-01-05zg2d,25,934.553
975,167.315,3.4226085,product,JIV-01-05zg2d,25,944.673
1005,163.262,3.4226085,product,JIV-01-05zg2d,25,892.919
1035,176.812,3.4226085,product,JIV-01-05zg2d,25,920.133
1065,180.205,3.4226085,product,JIV-01-05zg2d,25,924.957
1095,178.415,3.4226085,product,JIV-01-05zg2d,25,929.96
1125,172.526,3.4226085,product,JIV-01-05zg2d,25,951.474
1155,173.364,3.4226085,product,JIV-01-05zg2d,25,927.247
1185,192.91,3.4226085,product,JIV-01-05zg2d,25,928.166
1215,183.435,3.4226085,product,JIV-01-05zg2d,25,875.587
1245,186.764,3.4226085,product,JIV-01-05zg2d,25,905.519
1275,189.845,3.4226085,product,JIV-01-05zg2d,25,938.035
1305,164.095,3.4226085,product,JIV-01-05zg2d,25,935.575
1335,185.379,3.4226085,product,JIV-01-05zg2d,25,924.799
1365,168.458,3.4226085,product,JIV-01-05zg2d,25,925.617
1395,194.581,3.4226085,product,JIV-01-05zg2d,25,913.134
1425,192.59,3.4226085,product,JIV-01-05zg2d,25,923.826
1455,196.336,3.4226085,product,JIV-01-05zg2d,25,928.959
1485,200.259,3.4226085,product,JIV-01-05zg2d,25,895.995
1515,194.815,3.4226085,product,JIV-01-05zg2d,25,866.579
1545,184.831,3.4226085,product,JIV-01-05zg2d,25,931.473
1575,191.745,3.4226085,product,JIV-01-05zg2d,25,926.39
1605,201.947,3.4226085,product,JIV-01-05zg2d,25,883.949
1635,199.947,3.4226085,product,JIV-01-05zg2d,25,937.547
1665,197.024,3.4226085,product,JIV-01-05zg2d,25,894.494
1695,187.829,3.4226085,product,JIV-01-05zg2d,25,953.991
1725,197.172,3.4226085,product,JIV-01-05zg2d,25,961.545
1755,219.197,3.4226085,product,JIV-01-05zg2d,25,904.606
1785,206.32,3.4226085,product,JIV-01-05zg2d,25,935.475
1815,214.553,3.4226085,product,JIV-01-05zg2d,25,911.41
1845,214.085,3.4226085,product,JIV-01-05zg2d,25,918.642
1875,216.64,3.4226085,product,JIV-01-05zg2d,25,888.978
1905,201.61,3.4226085,product,JIV-01-05zg2d,25,939.353
1935,217.551,3.4226085,product,JIV-01-05zg2d,25,902
1965,206.983,3.4226085,product,JIV-01-05zg2d,25,928.93
1995,210.367,3.4226085,product,JIV-01-05zg2d,25,910.628
2025,206.02,3.4226085,product,JIV-01-05zg2d,25,941.227
2055,208.083,3.4226085,product,JIV-01-05zg2d,25,959.675
2085,214.48,3.4226085,product,JIV-01-05zg2d,25,945.956
2115,228.966,3.4226085,product,JIV-01-05zg2d,25,910.936
2145,219.435,3.4226085,product,JIV-01-05zg2d,25,907.977
2175,198.636,3.4226085,product,JIV-01-05zg2d,25,947.495
2205,211.559,3.4226085,product,JIV-01-05zg2d,25,898.814
2235,227.065,3.4226085,product,JIV-01-05zg2d,25,907.749
2265,215.861,3.4226085,product,JIV-01-05zg2d,25,920.248
2295,206.403,3.4226085,product,JIV-01-05zg2d,25,918.485
2325,209.721,3.4226085,product,JIV-01-05zg2d,25,901.452
2355,213.343,3.4226085,product,JIV-01-05zg2d,25,919.779
2385,222.876,3.4226085,product,JIV-01-05zg2d,25,942.007
2415,228.87,3.4226085,product,JIV-01-05zg2d,25,899.869
2445,221.894,3.4226085,product,JIV-01-05zg2d,25,897.397
2475,227.747,3.4226085,product,JIV-01-05zg2d,25,927.59
2505,229.298,3.4226085,product,JIV-01-05zg2d,25,936.926
2535,228.973,3.4226085,product,JIV-01-05zg2d,25,882.512
2565,238.046,3.4226085,product,JIV-01-05zg2d,25,921.494
2595,221.604,3.4226085,product,JIV-01-05zg2d,25,890.142
2625,217.962,3.4226085,product,JIV-01-05zg2d,25,952.582
2655,235.526,3.4226085,product,JIV-01-05zg2d,25,922.875
2685,223.043,3.4226085,product,JIV-01-05zg2d,25,936.034
2715,237.952,3.4226085,product,JIV-01-05zg2d,25,896.439
2745,238.808,3.4226085,product,JIV-01-05zg2d,25,927.893
2775,238.331,3.4226085,product,JIV-01-05zg2d,25,927.318
2805,223.557,3.4226085,product,JIV-01-05zg2d,25,938.937
2835,229.561,3.4226085,product,JIV-01-05zg2d,25,943.596
2865,240.903,3.4226085,product,JIV-01-05zg2d,25,911.266
2895,232.145,3.4226085,product,JIV-01-05zg2d,25,899.839
2925,241.484,3.4226085,product,JIV-01-05zg2d,25,958.496
2955,241.243,3.4226085,product,JIV-01-05zg2d,25,904.335
2985,252.646,3.4226085,product,JIV-01-05zg2d,25,903.529
3015,225.114,3.4226085,product,JIV-01-05zg2d,25,938.721
3045,253.141,3.4226085,product,JIV-01-05zg2d,25,880.266
3075,244.478,3.4226085,product,JIV-01-05zg2d,25,917.197
3105,230.662,3.4226085,product,JIV-01-05zg2d,25,921.441
3135,248.975,3.4226085,product,JIV-01-05zg2d,25,917.178
3165,234.796,3.4226085,product,JIV-01-05zg2d,25,959.27
3195,239.593,3.4226085,product,JIV-01-05zg2d,25,930.667
3225,249.071,3.4226085,product,JIV-01-05zg2d,25,935.15
3255,239.552,3.4226085,product,JIV-01-05zg2d,25,935.452
3285,241.49,3.4226085,product,JIV-01-05zg2d,25,899.482
3315,250.263,3.4226085,product,JIV-01-05zg2d,25,934.597
3345,250.921,3.4226085,product,JIV-01-05zg2d,25,894.606
3375,253.917,3.4226085,product,JIV-01-05zg2d,25,949.824
3405,253.194,3.4226085,product,JIV-01-05zg2d,25,938.526
3435,245.078,3.4226085,product,JIV-01-05zg2d,25,921.983
3465,246.337,3.4226085,product,JIV-01-05zg2d,25,929.253
3495,238.433,3.4226085,product,JIV-01-05zg2d,25,906.063
3525,240.66,3.4226085,product,JIV-01-05zg2d,25,904.689
3555,234.2,3.4226085,product,JIV-01-05zg2d,25,950.387
3585,239.792,3.4226085,product,JIV-01-05zg2d,25,925.646
3615,240.259,3.4226085,product,JIV-01-05zg2d,25,867.596
3645,245.49,3.4226085,product,JIV-01-05zg2d,25,916.195
3675,234.008,3.4226085,product,JIV-01-05zg2d,25,930.821
3705,235.654,3.4226085,product,JIV-01-05zg2d,25,898.075
135,449.181,3.803036,SM_B,JIV-01-05zg2d,25,1000.64
165,433.589,3.803036,SM_B,JIV-01-05zg2d,25,946.213
195,425.982,3.803036,SM_B,JIV-01-05zg2d,25,927.181
225,414.042,3.803036,SM_B,JIV-01-05zg2d,25,977.316
255,405.789,3.803036,SM_B,JIV-01-05zg2d,25,938.872
285,395.784,3.803036,SM_B,JIV-01-05zg2d,25,947.744
315,389.241,3.803036,SM_B,JIV-01-05zg2d,25,935.153
345,382.248,3.803036,SM_B,JIV-01-05zg2d,25,956.691
375,370.376,3.803036,SM_B,JIV-01-05zg2d,25,927.71
405,364.283,3.803036,SM_B,JIV-01-05zg2d,25,898.997
435,356.954,3.803036,SM_B,JIV-01-05zg2d,25,949.244
