time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD,,,
153,1649.76,3.814969,SM_A,JIV-01-08zg2d,25,1180.41,,,product
213,1632.34,3.814969,SM_A,JIV-01-08zg2d,25,1163.58,,,"Integral(3.484085,3.372584)"
273,1629.04,3.814969,SM_A,JIV-01-08zg2d,25,1149.2,,,
333,1602.11,3.814969,SM_A,JIV-01-08zg2d,25,1138.93,,,
393,1593.83,3.814969,SM_A,JIV-01-08zg2d,25,1140.86,,,
453,1590.42,3.814969,SM_A,JIV-01-08zg2d,25,1139.84,,,
513,1574.5,3.814969,SM_A,JIV-01-08zg2d,25,1132.45,,,
573,1559.07,3.814969,SM_A,JIV-01-08zg2d,25,1141.77,,,
633,1560.58,3.814969,SM_A,JIV-01-08zg2d,25,1135.52,,,
693,1544.62,3.814969,SM_A,JIV-01-08zg2d,25,1158.21,,,
753,1538.64,3.814969,SM_A,JIV-01-08zg2d,25,1166.72,,,
813,1517.32,3.814969,SM_A,JIV-01-08zg2d,25,1144.84,,,
873,1512.33,3.814969,SM_A,JIV-01-08zg2d,25,1164.08,,,
933,1506.94,3.814969,SM_A,JIV-01-08zg2d,25,1166.71,,,
993,1490.27,3.814969,SM_A,JIV-01-08zg2d,25,1151.87,,,
1053,1482.03,3.814969,SM_A,JIV-01-08zg2d,25,1157.03,,,
1113,1472.92,3.814969,SM_A,JIV-01-08zg2d,25,1157.76,,,
1173,1460.13,3.814969,SM_A,JIV-01-08zg2d,25,1131.87,,,
1233,1455.34,3.814969,SM_A,JIV-01-08zg2d,25,1127.85,,,
1293,1446.66,3.814969,SM_A,JIV-01-08zg2d,25,1157.02,,,
1353,1430.47,3.814969,SM_A,JIV-01-08zg2d,25,1124.83,,,
1413,1431.38,3.814969,SM_A,JIV-01-08zg2d,25,1158.47,,,
1473,1417.74,3.814969,SM_A,JIV-01-08zg2d,25,1125.37,,,
1533,1409.1,3.814969,SM_A,JIV-01-08zg2d,25,1157.49,,,
1593,1396.14,3.814969,SM_A,JIV-01-08zg2d,25,1136.12,,,
1653,1395.61,3.814969,SM_A,JIV-01-08zg2d,25,1138.05,,,
1713,1382.53,3.814969,SM_A,JIV-01-08zg2d,25,1139.8,,,
1773,1373.3,3.814969,SM_A,JIV-01-08zg2d,25,1145.39,,,
1833,1369.01,3.814969,SM_A,JIV-01-08zg2d,25,1148.3,,,
1893,1362.21,3.814969,SM_A,JIV-01-08zg2d,25,1131.13,,,
1953,1352.96,3.814969,SM_A,JIV-01-08zg2d,25,1158.61,,,
2013,1343.44,3.814969,SM_A,JIV-01-08zg2d,25,1143.7,,,
2073,1333.93,3.814969,SM_A,JIV-01-08zg2d,25,1152.46,,,
