time_s,integral,shift,assignment,experiment,ISTD_mg_mL
120,16.3256,3.4,product,RK-04-35zg2d,22
150,16.4431,3.4,product,RK-04-35zg2d,22
180,15.6195,3.4,product,RK-04-35zg2d,22
210,14.6393,3.4,product,RK-04-35zg2d,22
240,13.8574,3.4,product,RK-04-35zg2d,22
270,17.3945,3.4,product,RK-04-35zg2d,22
300,15.3457,3.4,product,RK-04-35zg2d,22
330,22.7543,3.4,product,RK-04-35zg2d,22
360,26.541,3.4,product,RK-04-35zg2d,22
390,26.8532,3.4,product,RK-04-35zg2d,22
420,35.192,3.4,product,RK-04-35zg2d,22
450,36.5062,3.4,product,RK-04-35zg2d,22
480,35.4168,3.4,product,RK-04-35zg2d,22
510,38.9219,3.4,product,RK-04-35zg2d,22
540,41.7282,3.4,product,RK-04-35zg2d,22
570,43.8508,3.4,product,RK-04-35zg2d,22
600,44.4954,3.4,product,RK-04-35zg2d,22
630,51.2323,3.4,product,RK-04-35zg2d,22
660,56.5497,3.4,product,RK-04-35zg2d,22
690,60.5638,3.4,product,RK-04-35zg2d,22
720,59.8901,3.4,product,RK-04-35zg2d,22
750,65.1342,3.4,product,RK-04-35zg2d,22
780,59.2362,3.4,product,RK-04-35zg2d,22
810,71.5673,3.4,product,RK-04-35zg2d,22
840,70.0976,3.4,product,RK-04-35zg2d,22
870,75.3468,3.4,product,RK-04-35zg2d,22
900,75.7078,3.4,product,RK-04-35zg2d,22
930,69.9556,3.4,product,RK-04-35zg2d,22
960,69.2015,3.4,product,RK-04-35zg2d,22
990,77.899,3.4,product,RK-04-35zg2d,22
1020,76.2301,3.4,product,RK-04-35zg2d,22
1050,73.6606,3.4,product,RK-04-35zg2d,22
1080,81.8784,3.4,product,RK-04-35zg2d,22
1110,85.2428,3.4,product,RK-04-35zg2d,22
1140,87.3481,3.4,product,RK-04-35zg2d,22
1170,90.5493,3.4,product,RK-04-35zg2d,22
1200,90.7886,3.4,product,RK-04-35zg2d,22
1230,90.1904,3.4,product,RK-04-35zg2d,22
1260,94.3147,3.4,product,RK-04-35zg2d,22
1290,95.3054,3.4,product,RK-04-35zg2d,22
